Post	Content	Date
140	It’s worth saying that, relative to where these relations were just six months ago, the talks today look to have covered a lot of ground and (on paper at least) have cut through on areas where both governments can cooperate, such as AI, curbing fentanyl and on climate change. The language on Taiwan appears to be what we are used to hearing. There’s plenty to digest in terms of what all of this will mean.Enda CurranGlobal Economy ReporterCopied	15th November
141	The US is describing China’s agreement to curtail fentanyl production at specific companies as the most significant to come out of the meeting. Biden told Xi that fentanyl has caused one of the worst crises the country has ever endured, according to a senior administration official.Akayla GardnerWhite House ReporterCopied	15th November
142	A quick perusal of the English language readout from China shows a lot of stock phrases that Xi uses. He spoke about changes unseen in a century, the need to avoid zero-sum mentality and of course the obligatory reference to win-win cooperation. Enda CurranGlobal Economy ReporterCopied	15th November
143	No surprises here. Xinhua says Xi told the US side that “export control, investment screening and unilateral sanctions seriously hurt China’s legitimate interests.”Enda CurranGlobal Economy ReporterCopied	15th November
144	So things are running a little behind schedule. We’re waiting for Biden to start a press conference at which he’ll flesh out the details of what has been agreed. Judging by his initial remark on X, it looks like the administration wants to portray these talks as a clear win. Needless to say, Biden will be solo - Xi won’t be giving a press conference.Enda CurranGlobal Economy ReporterCopied	15th November
145	I expect a lot of reaction to make the point that agreements are one thing, execution is another. Only a year ago it looked like the US and China were back on track. Then, as Akayla mentioned, the balloon came.Enda CurranGlobal Economy ReporterCopied	15th November
146	Those comments from Biden on X don’t seem to chime with the hawkish mood in DC towards China, including from his own administration. Can this better tone last?Enda CurranGlobal Economy ReporterCopied	15th November
147	Biden described today’s meeting as “the most constructive and productive discussions” yet between the nations, nodding to months of preparation by their staffs. Akayla GardnerWhite House ReporterCopiedUpdated Nov 15	15th November
148	In terms of olive branches, here’s the section in which China says both countries need to cooperate:     “China and the United States should lead by example, step up coordination and cooperation on international and regional issues, and provide more public goods for the world.” Enda CurranGlobal Economy ReporterCopiedUpdated Nov 15	15th November
149	First comment I’ve seen on Taiwan, again per Xinhua:“China will realize reunification, and this is unstoppable.”Enda CurranGlobal Economy ReporterCopied	15th November
150	Today’s meeting was the first in-person engagement between Biden and Xi since a G-20 meeting in Bali last year. It’s taken some effort to get here, as tensions increased during the interim. The US discovered an alleged Chinese spy balloon flying in its airspace in February, alarming civilians and Congress. China’s wildlife agency recently ended its contracts for giant pandas to American zoos without explanation. And travels by US lawmakers to Taiwan have drawn rebukes from China.Akayla GardnerWhite House ReporterCopied	15th November
151	As expected, Xi laid out his own boundaries during the meeting, according to Xinhua, citing the Chinese leader:“China has interests that must be safeguarded, principles that must be upheld, and red lines that must not be crossed.”Enda CurranGlobal Economy ReporterCopiedUpdated Nov 15	15th November
152	Hours before the talks began, both governments released a statement detailing new commitments to cooperate on climate change with promises to build carbon-capture facilities, curtail power sector pollution and take aim at the full suite of greenhouse gases helping warm the planet - one of the areas long identified for cooperation between both governments.     US-China Climate Deal Builds Momentum for Stronger COP28 Outcome Enda CurranGlobal Economy ReporterCopied	15th November
153	A note of caution here. Whatever the deliverables from the Xi-Biden meeting, their effects may not be lasting. Eurasia Group analysts wrote in a recent note:     “Heading into 2024, there is rising risk that Taiwan’s election will set back the progress made. China also knows that Biden’s ability to deliver progress will be constrained not only by his administration’s perception that the relationship is fundamentally competitive, but also by election year politics and a hawkish Congress.”  Colum MurphyAsia Government TeamCopied	15th November
154	Here’s some more from the Xinhua readout on the people-to-people exchanges, citing Xi:“The two sides should increase direct flights, advance tourism cooperation, expand subnational exchanges, strengthen educational cooperation, and encourage and support greater interactions and communication between their people.”Enda CurranGlobal Economy ReporterCopied	15th November
155	The potential for more flights between both countries will come as a relief for business people, students and tourists who have been struggling with limited capacity ever since the Covid pandemic eased. Here’s the line that Xinhua ran on the flights:     “Chinese President Xi Jinping and U.S. President Joe Biden agreed Wednesday to commit to working toward a significant further increase in scheduled passenger flights early next year.” Enda CurranGlobal Economy ReporterCopied	15th November
156	The Biden administration has pursued an industrial strategy aimed at building manufacturing capacity at home and diversifying supply chains. At the same time, it’s been limiting not just advanced chips that can be exported to China but chip-making equipment and design software as well. The US is also seeking to cut off funding: An executive order signed this year imposes limits on US investments in some Chinese semiconductor, quantum computing and artificial intelligence firms. Zibang XiaoEconomy & Government TeamCopied	15th November
157	China also needs continued inflows of foreign investment to sustain economic growth and to deliver the jobs and prosperity that underpin the Communist Party’s legitimacy. Zibang XiaoEconomy & Government TeamCopied	15th November
158	Stabilizing the relationship with Washington allows Xi to better focus on domestic challenges. China’s economy was expected to come roaring back once strict pandemic control measures were lifted in December. But after an initial burst, momentum quickly petered out, weighed down by a crisis in the all-important property sector.Zibang XiaoEconomy & Government TeamCopied	15th November
159	Here’s what we know already about deliverables from the meeting:China and the US agreed to resume military-to-military communicationsThe Chinese government will crack down on the flow of fentanyl, an illicit drug that Biden’s political opponents have focused in on as trafficking increases in the USThe leaders committed to hold discussions about the potential risks of artificial intelligence, particularly its use in defense modernizationBiden, Xi Strike Deals on Fentanyl, Military Communications (1)Akayla GardnerWhite House ReporterCopiedUpdated Nov 15	15th November
160	Biden met with Xi, along with their top aides, for a bilateral meeting earlier today that lasted approximately two hours. The leaders also sat for a “working lunch” with a much smaller group of staffers, and went for a one-on-one stroll on the grounds of the Filoli estate south of San Francisco. We’ll be awaiting details of the conversation between the two leaders, which both countries describe as the most consequential bilateral relationship in the world.     Biden, Xi Declare Progress After Concluding Four-Hour Summit Akayla GardnerWhite House ReporterCopied	15th November
161	Hey there, I’m Akayla Gardner, a White House correspondent here at Bloomberg News. In a few moments, we’ll be starting live coverage of President Biden’s news conference in California. I’ll be joined by colleagues in Asia and the US to offer play-by-play updates, analysis and context.Akayla GardnerWhite House ReporterCopied	15th November
162	Welcome to TOPLive. US President Joe Biden is scheduled to hold a news briefing at 4:15 p.m. local time after meeting with Chinese President Xi Jinping in a high-level reset of bilateral relations at an estate south of the Asia-Pacific Economic Cooperation meeting in San Francisco. Join us for news and analysis.         #lazy-img-404383102:before{padding-top:66.81159420289855%;}           Xi and Biden greet each other earlier to kick off their first meeting in more than a year. Eric ColemanNews Desk EditorCopiedUpdated Nov 15	15th November
